,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
103,beard,"plait, braid",beard,plait or braid,1
104,bearded man,bearded vulture,bearded man,bearded vulture,1
105,beautiful,beloved,beautiful,beloved,1
106,beautiful,good,beautiful,good,14
107,bed,garden bed,bed,garden bed,8
108,bed,river-bed,bed,river bed,8
109,bee,"industrious, diligent person",bee,industrious or diligent person,2
110,bee,sugar,bee,sugar,2
111,bee swarm,crowd (of people),bee swarm,crowd of people,3
112,beehive,cannon (weapon),beehive,cannon weapon,1
113,beetle,common starling,beetle,common starling,1
114,beetle,insect,beetle,insect,1
115,beetle,pupil (of an eye),beetle,pupil of an eye,1
116,before,ancestor,before,ancestor,1
117,behind,North,behind,North,3
118,behind,after,behind,after,9
119,bell,bellflower (Campanula),bell,bellflower ,1
120,bell,eye socket,bell,eye socket,1
121,bell,"watch, clock",bell,watch or clock,1
122,belly,beehive,belly,beehive,1
123,belly,body,belly,body,1
124,belly,centre,belly,center,1
125,belly,generation,belly,generation,1
126,belly,middle,belly,middle,3
127,belly,pregnant,belly,pregnant,2
128,belly,river-bed,belly,river bed,1
129,beloved,husband,beloved,husband,2
130,belt,rainbow,belt,rainbow,2
131,bench,garden bed,bench,garden bed,1
132,benediction,will (legal document),benediction,will legal document,1
133,big,boss,big,boss,3
134,big,difficult,big,difficult,1
135,big,great,big,great,15
136,big,"grown-up, adult",big,grown up or adult,4
137,big,"high (size), tall",big,high size or tall,4
138,big,important,big,important,4
139,big,main,big,main,3
140,big,middle finger,big,middle finger,1
141,big,of high rank,big,of high rank,1
142,big,proud,big,proud,1
143,big,to grow up,big,to grow up,2
144,"bile, gall",poison,bile or gall,poison,4
145,birch,bird cherry tree,birch,bird cherry tree,1
146,bird,airplane,bird,airplane,1
147,bird,cock (of a gun),bird,cock of a gun,1
148,bird,"happiness, luck",bird,happiness or luck,1
149,bird,"sign, designation",bird,sign or designation,3
150,bird,to tell a person's fortune,bird,to tell a person's fortune,1
151,bird Nectarinia gutturalis,drunkard,bird  ,drunkard,1
152,bird cherry tree,hearts (in cards),bird cherry tree,hearts in cards,1
153,"biscuit, cookie",diamonds (in cards),biscuit or cookie,diamonds in cards,1
154,bitter,angry,bitter,angry,3
155,bitter,beautiful,bitter,beautiful,2
156,bitter,bitterling,bitter,freshwater fish,1
157,bitter,pain,bitter,pain,1
158,bitter,sad,bitter,sad,18
159,black,Saturn,black,Saturn,1
160,black,bad,black,bad,6
161,black,bear (Ursus),black,bear ,1
162,black,guilty,black,guilty,2
163,black,illegal,black,illegal,12
164,black,lovely,black,lovely,2
165,black,"many, much",black,many or much,2
166,black,married,black,married,1
167,black,pupil (of an eye),black,pupil of an eye,1
168,black,sad,black,sad,6
169,black,smut (plant disease),black,smut plant disease,1
170,black,venous,black,venous,1
171,black,very,black,very,2
172,black,"vulgar, common",black,vulgar or common,2
173,black,woman,black,woman,1
174,black cloud,sad,black cloud,sad,1
175,black cloud,sponge,black cloud,sponge,2
176,black radish,root vegetable,black radish,root vegetable,1
177,blade,wave,blade,wave,1
178,blind,blunt,blind,blunt,4
179,blind,horse-fly (Tabanidae),blind,horse fly ,1
180,blind,mute,blind,mute,1
181,blind,"solid, entire, continuous",blind,solid or entire or continuous,1
182,blind alley,deadlock,blind alley,deadlock,1
183,blister,cell (in biology),blister,cell in biology,1
184,blood,ethnic group,blood,ethnic group,1
185,blood,kinship,blood,kinship,4
186,blood,revenge,blood,revenge,1
187,blood vessel,muscle,blood vessel,muscle,3
188,blue,bruise,blue,bruise,5
189,blue,cornflower (Centaurea),blue,cornflower thistle,1
190,blue,eggplant (Solanum melongena),blue,eggplant  ,1
191,blue,gay,blue,gay,1
192,blue,sad,blue,sad,2
193,blunt,stupid,blunt,stupid,18
194,blunt,toothless,blunt,toothless,1
195,"board, plank",shield,board or plank,shield,2
196,body,"agency, authority",body,agency or authority,2
197,body,penis,body,penis,2
198,body,self,body,self,2
199,body,wife,body,wife,1
200,body part,"cell (of a political party, organization)",body part,cell of a political party or organization,2
201,body part,syllable,body part,syllable,1
202,bone,foot/leg,bone,foot or leg,6
203,bone,kinship,bone,kinship,2
204,bone,lean,bone,lean,1
205,bone,needle,bone,needle,3
206,bone,skeleton,bone,skeleton,1
207,bone,stone (of a fruit),bone,stone of a fruit,6
208,bone,strong,bone,strong,1
209,border,"country, land",border,country or land,2
210,boss,bear (Ursus),boss,bear ,2
211,boss,husband,boss,husband,1
212,bottom,foundation ditch,bottom,foundation ditch,1
213,bottom,shoes' soles,bottom,shoes' soles,1
214,bottom of a dress,mountain foot,bottom of a dress,mountain foot,1
215,bow (weapon),"bow, fiddlestick",bow weapon,bow or violin bow,25
216,bow (weapon),clavicle,bow weapon,clavicle,1
217,bow (weapon),fire-arms,bow weapon,fire arms,4
218,bow-legged,bear (Ursus),bow legged,bear ,1
219,bow-string,chord (geometry),bow string,chord geometry,1
220,bow-string,hypotenuse,bow string,hypotenuse,1
221,bowel,string (of a musical instrument),bowel,string of a musical instrument,3
222,"bowels, intestine",brave,bowels or intestine,brave,1
223,"bowels, intestine",close (of relations),bowels or intestine,close of relations,1
224,"bowels, intestine",location of emotions,bowels or intestine,location of emotions,3
225,"bowels, intestine",sausage,bowels or intestine,sausage,3
226,"box, container",chest (body part),box or container,chest body part,1
227,"box, container",coffin,box or container,coffin,11
228,boy,servant,boy,servant,20
229,brain (cerebrum),liquid,brain cerebrum,liquid,1
230,brain (cerebrum),mind (n.),brain cerebrum,mind ,9
231,"branch, twig",spur of mountain,branch or twig,spur of mountain,1
232,"branch, twig",tribe,branch or twig,tribe,8
233,"branch, twig",trouser-leg,branch or twig,trouser leg,1
234,brave,active,brave,active,1
235,breathing,animal,breathing,animal,2
236,breathing,person,breathing,person,2
237,breathing,skill,breathing,skill,1
238,brick (n.),diamonds (in cards),brick ,diamonds in cards,1
239,bride,daughter-in-law,bride,daughter in law,5
240,"brilliant, glaring",clever,brilliant or glaring,clever,5
241,broken,insane,broken,insane,2
242,broom,comet,broom,comet,1
243,brothel,"disorder, mess",brothel,disorder or mess,3
244,brother,member of religious organisation,brother,member of religious organization,1
245,brother,son,brother,son,1
246,brown,suntanned,brown,suntanned,1
247,bug (Heteroptera),short person,bug ,short person,1
248,bull,arrogant,bull,arrogant,1
249,bull,bittern (Botaurus),bull,bittern ,5
250,bull,bullhead,bull,bullhead,1
251,bull,moose,bull,moose,1
252,bull,strong man (?),bull,strong man ,2
253,bully,crested lark,bully,crested lark,2
254,burdock,importunate,burdock,importunate,1
255,"bush, shrub",bouquet,bush or shrub,bouquet,1
256,butterfly,anxious,butterfly,anxious,1
257,butterfly,butterfly fish,butterfly,butterfly fish,4
258,buttock,butt of the rifle,buttock,butt of the rifle,1
259,buttock,genitalia,buttock,genitalia,1
260,buttock,lower part,buttock,lower part,1
261,buttock,wagtail (Motacilla),buttock,wagtail ,1
262,button (on a dress),push button,button on a dress,push button,11
263,cage,cell (in biology),cage,cell in biology,3
264,calf of a leg,butt of the rifle,calf of a leg,butt of the rifle,1
265,calm,bear (Ursus),calm,bear ,1
266,calm,cheerful,calm,cheerful,1
267,calm,dead (adj.),calm,dead ,4
268,camel,bishop (chess),camel,bishop chess,1
269,camel,glutton,camel,glutton,1
270,camel,humpbacked,camel,humpbacked,1
271,camel,ostrich,camel,ostrich,1
272,camp,army,camp,army,1
273,"can, to be able",strong,can or to be able,strong,1
274,"can, to be able",to endure,can or to be able,to endure,1
275,"can, to be able",to win,can or to be able,to win,2
276,candle,spark plug,candle,spark plug,2
277,carriage,automobile,carriage,automobile,6
278,carriage,railcar,carriage,railcar,7
279,cat,anchor,cat,anchor,3
280,cat,catkin,cat,catkin,3
281,cat,vagina,cat,vagina,3
282,caterpillar,caterpillar track,caterpillar,caterpillar track,2
283,cattle,bad person,cattle,bad person,9
284,cauldron,cannon (weapon),cauldron,cannon weapon,2
285,cauldron,hell,cauldron,hell,1
286,cauldron,spades (in cards),cauldron,spades in cards,1
287,cave,den (of thieves etc.),cave,den of thieves ,1
288,ceiling,palate,ceiling,palate,2
289,celery,parsley,celery,parsley,1
290,cell (of honeycomb),cell (in biology),cell of honeycomb,cell in biology,6
291,cellar,clandestine activity,cellar,clandestine activity,1
292,chaff,useless thing,chaff,useless thing,5
293,chameleon,"hypocrite, dissembler",chameleon,hypocrite or dissembler,1
294,chameleon,to falsify,chameleon,to falsify,1
295,cheap,"vulgar, common",cheap,vulgar or common,1
296,cheek,jaw,cheek,jaw,4
297,cheek,mountain slope,cheek,mountain slope,3
298,cheek-bone,doorpost,cheek bone,doorpost,2
299,cheerful,gay,cheerful,gay,1
300,chest (body part),memory,chest body part,memory,1
301,chest (body part),mountain slope,chest body part,mountain slope,5
302,child (son or daughter),bee swarm,child son or daughter,bee swarm,2
303,child (son or daughter),interest (finance),child son or daughter,interest finance,9
304,child (son or daughter),little finger,child son or daughter,little finger,2
305,child (son or daughter),orphan,child son or daughter,orphan,1
306,child (son or daughter),people (pl.),child son or daughter,people ,1
307,child (son or daughter),pupil (of an eye),child son or daughter,pupil of an eye,1
308,chip,spoon,chip,spoon,1
309,chopped billet,base for beheading,chopped billet,base for beheading,7
310,cigar,dragonfly,cigar,dragonfly,1
311,circle,"apartment, flat",circle,apartment or flat,1
312,circle,eye,circle,eye,1
313,circle,finger-ring,circle,finger ring,2
314,circle,year,circle,year,1
315,clapper of a bell,penis,clapper of a bell,penis,2
316,"clasp, buckle",fibula (anat.),clasp or buckle,fibula ,3
317,clay,"human temper, character",clay,human temper or character,1
318,clean (adj.),beautiful,clean ,beautiful,2
319,clean (adj.),empty,clean ,empty,2
320,clean (adj.),honest,clean ,honest,4
321,clean (adj.),saint,clean ,saint,1
322,clean (adj.),sober,clean ,sober,1
323,clean (adj.),"totally, absolutely",clean ,totally or absolutely,4
324,clever,"doctor, physician",clever,doctor or physician,3
325,clever,"grown-up, adult",clever,grown up or adult,1
326,clever,old (vs. young),clever,old ,1
327,closed,cloudy,closed,cloudy,1
328,closed,dark (adj.),closed,dark ,2
329,cloud,cataract (of the eye),cloud,cataract of the eye,1
330,cloud,freckle,cloud,freckle,1
331,clover,clubs (in cards),clover,clubs in cards,1
332,coal,anthrax,coal,anthrax,2
333,coal,smut (plant disease),coal,smut plant disease,4
334,cock (of a gun),trigger (of a gun),cock of a gun,trigger of a gun,7
335,cockroach,gay,cockroach,gay,1
336,cold,calm,cold,calm,1
337,cold,cold (disease),cold,cold disease,4
338,cold,"fearful, dreadful",cold,fearful or dreadful,1
339,cold,"friendly, amicable",cold,friendly or amicable,3
340,cold,hostile,cold,hostile,6
341,cold,in vain,cold,in vain,1
342,cold,indifferent,cold,indifferent,10
343,cold,unpleasant,cold,unpleasant,3
344,colour,timbre,color,timbre,1
345,comb,"charger, cartridge clip",comb,charger or cartridge clip,1
346,comb,honeycomb,comb,honeycomb,1
347,comb,reed (in loom),comb,reed in loom,3
348,comb (of a bird),cap peak,comb of a bird,cap peak,1
349,comet,kite (lightweight toy),comet,kite lightweight toy,2
350,common quail,corn crake,common quail,corn bird,1
351,"common, shared by several people",bad (ethically),common or shared by several people,bad ethically,2
352,"common, shared by several people",vulgar,common or shared by several people,vulgar,3
353,condemned to death,hooligan,condemned to death,hooligan,1
354,conversation,"custom, habit",conversation,custom or habit,1
355,copper,tin (n.),copper,tin ,1
356,copper,zinc,copper,zinc,1
357,corn crake,lean,corn bird,lean,1
358,corner,gulf,corner,gulf,2
359,corner,jaw,corner,jaw,1
360,corner,kneepit,corner,knee pit,1
361,corpse,bad (ethically),corpse,bad ethically,2
362,"corral, enclosure for cattle",herd,corral or enclosure for cattle,herd,1
363,correct (adj.),rich,correct ,rich,1
364,cotton,sheep,cotton,sheep,4
365,"country, land",chapter (of a book),country or land,chapter of a book,1
366,"country, land","people, nation",country or land,people or nation,3
367,"country, land",village,country or land,village,3
368,"country, land",wife,country or land,wife,1
369,court (of a sovereign),tribunal,court of a sovereign,tribunal,2
370,"cousin (male, cross-)",fool,cousin male or cross ,fool,1
371,"cover, lid",cover (of a book),cover or lid,cover of a book,1
372,"cover, lid",deck (of a ship),cover or lid,deck of a ship,1
373,"cover, lid",eyelid,cover or lid,eyelid,2
374,cow,squirrel (Sciurus),cow,squirrel ,2
375,crane (Grus),lifting machine,crane bird,lifting machine,12
376,crane (Grus),pickaxe,crane bird,pickax,1
377,crane (Grus),scatterbrain,crane bird,scatterbrain,1
378,crocodile,dangerous,crocodile,dangerous,1
379,crocodile,greedy,crocodile,greedy,1
380,cross (n.),clubs (in cards),cross ,clubs in cards,8
381,cross (n.),sacrum (bone),cross ,sacrum bone,1
382,crow,clubs (in cards),crow,clubs in cards,1
383,crow,spades (in cards),crow,spades in cards,3
384,crown (n.),comb (of a bird),crown ,comb of a bird,1
385,crown (n.),queen (bee),crown ,queen bee,1
386,crown (n.),top/crown (of a tree),crown ,top or crown of a tree,1
387,cuckoo,Eurasian hoopoe,cuckoo,Eurasian hoopoe,1
388,cuckoo,ladybird,cuckoo,ladybird,1
389,curly-headed,Jewish,curly headed,Jewish,1
390,currant-bush,buckthorn (Frangula),currant bush,buckthorn ,1
391,curtain,cataract (of the eye),curtain,cataract of the eye,5
392,curved,cunning person,curved,cunning person,1
393,curved,insane,curved,insane,1
394,curved,lame person,curved,lame person,1
395,curved,to be guilty,curved,to be guilty,1
396,"custom, habit",menstruation,custom or habit,menstruation,1
397,dark (adj.),bad,dark ,bad,2
398,dark (adj.),blind,dark ,blind,2
399,dark (adj.),gloomy,dark ,gloomy,11
400,dark (adj.),ignorant,dark ,ignorant,13
401,dark (adj.),incomprehensible,dark ,incomprehensible,10
402,dark (adj.),strong (of liquid or smell),dark ,strong of liquid or smell,1
403,darkness,west,darkness,west,1
404,daughter,Aloe vera (plant),daughter,Aloe vera plant,3
405,daughter,doll,daughter,doll,2
406,day,24 hours,day,twenty four hours,7
407,deaf,stupid,deaf,stupid,15
408,deaf,to grow numb,deaf,to grow numb,1
409,deep,dark (adj.),deep,dark ,2
410,deep,"earnest, serious",deep,earnest or serious,1
411,deep,rich,deep,rich,1
412,deep,saturated (of colour),deep,saturated of color,9
413,deer,horse (Equus caballus),deer,horse  ,3
414,deer,sheep,deer,sheep,2
415,desert (n.),hardship,desert ,hardship,1
416,dew,rain,dew,rain,4
417,dew,tears,dew,tears,1
418,diamond,rhombus,diamond,rhombus,1
419,difficult,pregnant,difficult,pregnant,1
420,direction,"sense, perception",direction,sense or perception,2
421,dirty,bad (ethically),dirty,bad ethically,16
422,dirty,evil spirit,dirty,evil spirit,3
423,do not see,"to hate, to dislike",do not see,to hate or to dislike,1
424,"dock-tailed, tailless",old (vs. young),dock tailed or tailless,old ,1
425,dog,bad person,dog,bad person,7
426,dog,cock (of a gun),dog,cock of a gun,4
427,dog,horse (Equus caballus),dog,horse  ,1
428,dog,poisonous,dog,poisonous,1
429,dog,police officer,dog,police officer,5
430,dog,seal (animal),dog,seal animal,2
431,dog,trigger (of a gun),dog,trigger of a gun,4
432,dog,whore,dog,whore,4
433,dog,wolf,dog,wolf,1
434,doll,larva,doll,larva,1
435,doll,mandrel (technology),doll,mandrel technology,1
436,doll,pupil (of an eye),doll,pupil of an eye,4
437,donkey,fool,donkey,fool,15
438,doomsday,"tumult, turmoil",doomsday,tumult or turmoil,2
439,door,chapter (of a book),door,chapter of a book,6
440,door,kind (n.),door,kind ,1
441,door,"manner, way",door,manner or way,2
442,door,mouth (of a river),door,mouth of a river,1
443,door,on the outside,door,on the outside,1
444,door,ravine,door,ravine,1
445,door,strait,door,strait,1
446,dough,money,dough,money,2
447,dragon,kite (lightweight toy),dragon,kite lightweight toy,20
448,drama (theatre),distressing event,drama theater,distressing event,1
449,drinking vessel,hearts (in cards),drinking vessel,hearts in cards,1
450,drone,"idler, loafer",drone,idler or loafer,7
451,drop (n.),full stop,drop ,full stop,1
452,drunk,great bilberry (Vaccinium uliginosum),drunk,great bilberry  ,1
453,dry,abstinent (from alcohol),dry,abstinent from alcohol,3
454,dry,bad,dry,bad,1
455,dry,boring,dry,boring,4
456,dry,cruel,dry,cruel,1
457,dry,dry (wine),dry,dry wine,10
458,dry,emotionless,dry,emotionless,7
459,dry,empty,dry,empty,3
460,dry,fatless,dry,fatless,1
461,dry,having no milk,dry,having no milk,4
462,dry,in vain,dry,in vain,2
463,dry,land (vs. sea),dry,land ,1
464,dry,lean,dry,lean,13
465,dry,lenten (fare),dry,lenten fare,4
466,dry,obstinate,dry,obstinate,1
467,dry,paralyzed,dry,paralyzed,2
468,dry,sad,dry,sad,1
469,dry,severe,dry,severe,2
470,duck,newspaper hoax,duck,newspaper hoax,9
471,duck,to follow unthinkingly,duck,to follow unthinkingly,1
472,duckweed,"to walk, wander",duckweed,to walk or wander,1
473,dust,(gun)powder,dust,gunpowder,2
474,dust,pollen,dust,pollen,6
475,eagle-owl (Bubo bubo),clubs (in cards),eagle owl  ,clubs in cards,1
476,ear,cock (of a gun),ear,cock of a gun,2
477,ear,gills,ear,gills,1
478,ear,"handle, gripe",ear,handle or gripe,2
479,ear,hare (Lepus),ear,hare ,1
480,ear,hearing,ear,hearing,9
481,ear,listener,ear,listener,3
482,ear,mind (n.),ear,mind ,1
483,ear,"opening, hole",ear,opening or hole,9
484,ear,shoehorn,ear,shoehorn,1
485,ear,tuning peg,ear,tuning peg,1
486,early,morning,early,morning,3
487,earring,catkin,earring,catkin,2
488,earth,mother,earth,mother,2
489,earth,year,earth,year,19
490,earth oven,prison,earth oven,prison,1
491,"earth, soil","country, land",earth or soil,country or land,39
492,"earth, soil",distance,earth or soil,distance,2
493,edge,"country, land",edge,country or land,4
494,edge,last,edge,last,1
495,egg,larva,egg,larva,1
496,egg,potato,egg,potato,2
497,egg,testicle,egg,testicle,17
498,eggplant (Solanum melongena),tomato (Solanum lycopersicum),eggplant  ,tomato  ,4
499,elbow,bend (of a river),elbow,bend of a river,5
500,elbow,crossroads,elbow,crossroads,1
501,elbow,unit of length,elbow,unit of length,15
502,elder,ace (playing card),elder,ace playing card,1
503,elder,boss,elder,boss,1
504,elder brother,member of criminal organisation,elder brother,member of criminal organization,1
505,elephant,bishop (chess),elephant,bishop chess,3
506,elephant,good,elephant,good,2
507,elephant,marble goby (Oxyeleotris marmorata),elephant,marble goby  ,1
508,ember,red,ember,red,2
509,empty,desert (n.),empty,desert ,1
510,empty,hungry,empty,hungry,1
511,empty,idle,empty,idle,3
512,empty,in vain,empty,in vain,15
513,empty,poor,empty,poor,1
514,empty,pot,empty,pot,1
515,empty,stupid,empty,stupid,2
516,empty,to stop doing smth.,empty,to stop doing ,1
517,empty,unmarried,empty,unmarried,1
518,end,completion,end,completion,5
519,end,ending (in grammar),end,ending in grammar,4
520,end,territorial entity,end,territorial entity,1
521,enemy,cunning person,enemy,cunning person,1
522,enemy,evil spirit,enemy,evil spirit,5
523,enemy,war,enemy,war,3
524,error,danger,error,danger,1
525,erysipelas,glasswort,erysipelas,herb,1
526,evening,"party, soiree",evening,party or soiree,2
527,evening,west,evening,west,4
528,exact,to be alike,exact,to be alike,4
529,exchange,peace,exchange,peace,1
530,expensive,lovely,expensive,lovely,12
531,eye,bud (on a twig),eye,bud on a twig,10
532,eye,burner,eye,burner,1
533,eye,"cavity, hollow",eye,cavity or hollow,4
534,eye,eminent man,eye,eminent man,1
535,eye,evil eye,eye,evil eye,3
536,eye,eye of typhoon,eye,eye of typhoon,3
537,eye,headlight (of a car),eye,headlight of a car,2
538,eye,look (n.),eye,look ,3
539,eye,loop,eye,loop,8
540,eye,observer,eye,observer,4
541,eye,oil particle,eye,oil particle,3
542,eye,"opening, hole",eye,opening or hole,20
543,eye,peephole,eye,peephole,1
544,eye,planet,eye,planet,1
545,eye,small object,eye,small object,1
546,eye,spectacles,eye,spectacles,1
547,eye,"spot, pip (on playing cards or dice)",eye,spot or pip on playing cards or dice,9
548,eye,"spring, fountain",eye,spring or fountain,6
549,eye,spy,eye,spy,1
550,eye,sun,eye,sun,1
551,eye,supervision,eye,supervision,9
552,eye,vision,eye,vision,8
553,eye,whirlpool,eye,whirlpool,1
554,eye,window,eye,window,4
555,eyebrow,hill,eyebrow,hill,1
556,eyelash,"ear, spike (of a grain plant)",eyelash,ear or spike of a grain plant,1
557,eyelash,edge,eyelash,edge,2
558,face,conscience,face,conscience,3
559,face,direction,face,direction,2
560,face,front part,face,front part,4
561,face,"manner, way",face,manner or way,2
562,face,mountain slope,face,mountain slope,2
563,face,person,face,person,6
564,face,sharp point,face,sharp point,1
565,face,side (n.),face,side ,1
566,face,surface,face,surface,8
567,face,"to govern, control, rule",face,to govern or control or rule,1
568,faeces,bad,faeces,bad,1
569,fairy tale,"false, wrong",fairy tale,false or wrong,2
570,falcon,bully,falcon,bully,1
571,family,child (son or daughter),family,child son or daughter,2
572,family,wife,family,wife,1
573,fan (hand-held),common redstart,fan hand held,common redstart,1
574,fan (hand-held),electrical fan,fan hand held,electrical fan,4
575,fan (hand-held),"leaf (of door, window)",fan hand held,leaf of door or window,1
576,fan palm (Pritchardia pacifica),umbrella,fan palm  peaceful,umbrella,1
577,farmer,jack (playing card),farmer,jack playing card,1
578,farmer,pawn (in chess),farmer,pawn in chess,7
579,fat (adj.)(of a person),rich,fat of a person,rich,5
580,fat (n.),cataract (of the eye),fat ,cataract of the eye,1
581,father,amazing,father,amazing,1
582,father,ancestor,father,ancestor,17
583,father,beginning,father,beginning,1
584,father,big,father,big,5
585,father,boss,father,boss,11
586,father,"cause, reason",father,cause or reason,1
587,father,father-in-law,father,father in law,10
588,father,founder,father,founder,21
589,father,god,father,god,7
590,father,influential person,father,influential person,1
591,father,monarch,father,monarch,1
592,father,owner,father,owner,4
593,father,sir,father,sir,2
594,"fearful, dreadful",big,fearful or dreadful,big,3
595,"fearful, dreadful",very,fearful or dreadful,very,9
596,"fearful, dreadful",wolf,fearful or dreadful,wolf,1
597,feather,arrow,feather,arrow,1
598,feather,fin,feather,fin,4
599,feather,leaf,feather,leaf,2
600,feather,moss,feather,moss,1
601,fellow traveller,spouse,fellow traveler,spouse,1
602,female calf,girl,female calf,girl,3
603,field,battle,field,battle,2
604,field,wife,field,wife,1
605,field,year,field,year,1
606,"fine, powder-like","little, small",fine or powder like,little or small,1
607,finger/toe,"salient part, ledge",finger or toe,salient part or ledge,1
608,finger/toe,sleeve,finger or toe,sleeve,1
609,finger/toe,spoke of wheel,finger or toe,spoke of wheel,3
610,finger/toe,unit of length,finger or toe,unit of length,10
611,fire,Mars,fire,Mars,1
612,fire,electricity,fire,electricity,4
613,fire,hell,fire,hell,1
614,fire,inflammation,fire,inflammation,10
615,fire,to shoot,fire,to shoot,13
616,fire,very,fire,very,1
617,fire,war,fire,war,1
618,fireplace,garden bed,fireplace,garden bed,1
619,"firm, solid",closed,firm or solid,closed,1
620,"firm, solid",healthy,firm or solid,healthy,4
621,"firm, solid",quick,firm or solid,quick,1
622,"firm, solid","reliable, trustworthy",firm or solid,reliable or trustworthy,1
623,fish,animal,fish,animal,1
624,fish,lightning,fish,lightning,1
625,fish,muscle,fish,muscle,3
