,meaning1,meaning2,meaning1_clean,meaning2_clean
137,big,"high (size), tall",big,high size or tall
138,big,important,big,important
139,big,main,big,main
140,big,middle finger,big,middle finger
141,big,of high rank,big,of high rank
142,big,proud,big,proud
143,big,to grow up,big,to grow up
144,"bile, gall",poison,bile or gall,poison
145,birch,bird cherry tree,birch,bird cherry tree
146,bird,airplane,bird,airplane
147,bird,cock (of a gun),bird,cock of a gun
148,bird,"happiness, luck",bird,happiness or luck
149,bird,"sign, designation",bird,sign or designation
150,bird,to tell a person's fortune,bird,to tell a person's fortune
151,bird Nectarinia gutturalis,drunkard,bird  ,drunkard
152,bird cherry tree,hearts (in cards),bird cherry tree,hearts in cards
153,"biscuit, cookie",diamonds (in cards),biscuit or cookie,diamonds in cards
154,bitter,angry,bitter,angry
155,bitter,beautiful,bitter,beautiful
156,bitter,bitterling,bitter,freshwater fish
157,bitter,pain,bitter,pain
158,bitter,sad,bitter,sad
159,black,Saturn,black,Saturn
160,black,bad,black,bad
161,black,bear (Ursus),black,bear 
162,black,guilty,black,guilty
163,black,illegal,black,illegal
164,black,lovely,black,lovely
165,black,"many, much",black,many or much
166,black,married,black,married
167,black,pupil (of an eye),black,pupil of an eye
168,black,sad,black,sad
169,black,smut (plant disease),black,smut plant disease
170,black,venous,black,venous
171,black,very,black,very
172,black,"vulgar, common",black,vulgar or common
173,black,woman,black,woman
174,black cloud,sad,black cloud,sad
175,black cloud,sponge,black cloud,sponge
176,black radish,root vegetable,black radish,root vegetable
177,blade,wave,blade,wave
178,blind,blunt,blind,blunt
179,blind,horse-fly (Tabanidae),blind,horse fly 
180,blind,mute,blind,mute
181,blind,"solid, entire, continuous",blind,solid or entire or continuous
182,blind alley,deadlock,blind alley,deadlock
183,blister,cell (in biology),blister,cell in biology
184,blood,ethnic group,blood,ethnic group
185,blood,kinship,blood,kinship
186,blood,revenge,blood,revenge
187,blood vessel,muscle,blood vessel,muscle
188,blue,bruise,blue,bruise
189,blue,cornflower (Centaurea),blue,cornflower thistle
190,blue,eggplant (Solanum melongena),blue,eggplant  
191,blue,gay,blue,gay
192,blue,sad,blue,sad
193,blunt,stupid,blunt,stupid
194,blunt,toothless,blunt,toothless
195,"board, plank",shield,board or plank,shield
196,body,"agency, authority",body,agency or authority
197,body,penis,body,penis
198,body,self,body,self
199,body,wife,body,wife
200,body part,"cell (of a political party, organization)",body part,cell of a political party or organization
201,body part,syllable,body part,syllable
202,bone,foot/leg,bone,foot or leg
203,bone,kinship,bone,kinship
204,bone,lean,bone,lean
205,bone,needle,bone,needle
206,bone,skeleton,bone,skeleton
207,bone,stone (of a fruit),bone,stone of a fruit
208,bone,strong,bone,strong
209,border,"country, land",border,country or land
210,boss,bear (Ursus),boss,bear 
211,boss,husband,boss,husband
212,bottom,foundation ditch,bottom,foundation ditch
213,bottom,shoes' soles,bottom,shoes' soles
214,bottom of a dress,mountain foot,bottom of a dress,mountain foot
215,bow (weapon),"bow, fiddlestick",bow weapon,bow or violin bow
216,bow (weapon),clavicle,bow weapon,clavicle
217,bow (weapon),fire-arms,bow weapon,fire arms
218,bow-legged,bear (Ursus),bow legged,bear 
219,bow-string,chord (geometry),bow string,chord geometry
220,bow-string,hypotenuse,bow string,hypotenuse
221,bowel,string (of a musical instrument),bowel,string of a musical instrument
222,"bowels, intestine",brave,bowels or intestine,brave
223,"bowels, intestine",close (of relations),bowels or intestine,close of relations
224,"bowels, intestine",location of emotions,bowels or intestine,location of emotions
225,"bowels, intestine",sausage,bowels or intestine,sausage
226,"box, container",chest (body part),box or container,chest body part
227,"box, container",coffin,box or container,coffin
228,boy,servant,boy,servant
229,brain (cerebrum),liquid,brain cerebrum,liquid
230,brain (cerebrum),mind (n.),brain cerebrum,mind 
231,"branch, twig",spur of mountain,branch or twig,spur of mountain
232,"branch, twig",tribe,branch or twig,tribe
233,"branch, twig",trouser-leg,branch or twig,trouser leg
234,brave,active,brave,active
235,breathing,animal,breathing,animal
236,breathing,person,breathing,person
237,breathing,skill,breathing,skill
238,brick (n.),diamonds (in cards),brick ,diamonds in cards
239,bride,daughter-in-law,bride,daughter in law
240,"brilliant, glaring",clever,brilliant or glaring,clever
241,broken,insane,broken,insane
242,broom,comet,broom,comet
243,brothel,"disorder, mess",brothel,disorder or mess
244,brother,member of religious organisation,brother,member of religious organization
245,brother,son,brother,son
246,brown,suntanned,brown,suntanned
247,bug (Heteroptera),short person,bug ,short person
248,bull,arrogant,bull,arrogant
249,bull,bittern (Botaurus),bull,bittern 
250,bull,bullhead,bull,bullhead
251,bull,moose,bull,moose
252,bull,strong man (?),bull,strong man 
253,bully,crested lark,bully,crested lark
254,burdock,importunate,burdock,importunate
255,"bush, shrub",bouquet,bush or shrub,bouquet
256,butterfly,anxious,butterfly,anxious
257,butterfly,butterfly fish,butterfly,butterfly fish
258,buttock,butt of the rifle,buttock,butt of the rifle
259,buttock,genitalia,buttock,genitalia
260,buttock,lower part,buttock,lower part
261,buttock,wagtail (Motacilla),buttock,wagtail 
262,button (on a dress),push button,button on a dress,push button
263,cage,cell (in biology),cage,cell in biology
264,calf of a leg,butt of the rifle,calf of a leg,butt of the rifle
265,calm,bear (Ursus),calm,bear 
266,calm,cheerful,calm,cheerful
267,calm,dead (adj.),calm,dead 
268,camel,bishop (chess),camel,bishop chess
269,camel,glutton,camel,glutton
270,camel,humpbacked,camel,humpbacked
271,camel,ostrich,camel,ostrich
272,camp,army,camp,army
273,"can, to be able",strong,can or to be able,strong
274,"can, to be able",to endure,can or to be able,to endure
275,"can, to be able",to win,can or to be able,to win
276,candle,spark plug,candle,spark plug
277,carriage,automobile,carriage,automobile
278,carriage,railcar,carriage,railcar
279,cat,anchor,cat,anchor
280,cat,catkin,cat,catkin
281,cat,vagina,cat,vagina
282,caterpillar,caterpillar track,caterpillar,caterpillar track
283,cattle,bad person,cattle,bad person
284,cauldron,cannon (weapon),cauldron,cannon weapon
285,cauldron,hell,cauldron,hell
286,cauldron,spades (in cards),cauldron,spades in cards
287,cave,den (of thieves etc.),cave,den of thieves 
288,ceiling,palate,ceiling,palate
289,celery,parsley,celery,parsley
290,cell (of honeycomb),cell (in biology),cell of honeycomb,cell in biology
291,cellar,clandestine activity,cellar,clandestine activity
292,chaff,useless thing,chaff,useless thing
293,chameleon,"hypocrite, dissembler",chameleon,hypocrite or dissembler
294,chameleon,to falsify,chameleon,to falsify
295,cheap,"vulgar, common",cheap,vulgar or common
296,cheek,jaw,cheek,jaw
297,cheek,mountain slope,cheek,mountain slope
298,cheek-bone,doorpost,cheek bone,doorpost
299,cheerful,gay,cheerful,gay
300,chest (body part),memory,chest body part,memory
301,chest (body part),mountain slope,chest body part,mountain slope
302,child (son or daughter),bee swarm,child son or daughter,bee swarm
303,child (son or daughter),interest (finance),child son or daughter,interest finance
304,child (son or daughter),little finger,child son or daughter,little finger
305,child (son or daughter),orphan,child son or daughter,orphan
306,child (son or daughter),people (pl.),child son or daughter,people 
307,child (son or daughter),pupil (of an eye),child son or daughter,pupil of an eye
308,chip,spoon,chip,spoon
309,chopped billet,base for beheading,chopped billet,base for beheading
310,cigar,dragonfly,cigar,dragonfly
311,circle,"apartment, flat",circle,apartment or flat
312,circle,eye,circle,eye
313,circle,finger-ring,circle,finger ring
314,circle,year,circle,year
315,clapper of a bell,penis,clapper of a bell,penis
316,"clasp, buckle",fibula (anat.),clasp or buckle,fibula 
317,clay,"human temper, character",clay,human temper or character
318,clean (adj.),beautiful,clean ,beautiful
319,clean (adj.),empty,clean ,empty
320,clean (adj.),honest,clean ,honest
321,clean (adj.),saint,clean ,saint
322,clean (adj.),sober,clean ,sober
323,clean (adj.),"totally, absolutely",clean ,totally or absolutely
324,clever,"doctor, physician",clever,doctor or physician
325,clever,"grown-up, adult",clever,grown up or adult
326,clever,old (vs. young),clever,old 
327,closed,cloudy,closed,cloudy
328,closed,dark (adj.),closed,dark 
329,cloud,cataract (of the eye),cloud,cataract of the eye
330,cloud,freckle,cloud,freckle
331,clover,clubs (in cards),clover,clubs in cards
332,coal,anthrax,coal,anthrax
333,coal,smut (plant disease),coal,smut plant disease
334,cock (of a gun),trigger (of a gun),cock of a gun,trigger of a gun
335,cockroach,gay,cockroach,gay
336,cold,calm,cold,calm
337,cold,cold (disease),cold,cold disease
338,cold,"fearful, dreadful",cold,fearful or dreadful
339,cold,"friendly, amicable",cold,friendly or amicable
340,cold,hostile,cold,hostile
341,cold,in vain,cold,in vain
342,cold,indifferent,cold,indifferent
343,cold,unpleasant,cold,unpleasant
344,colour,timbre,color,timbre
345,comb,"charger, cartridge clip",comb,charger or cartridge clip
346,comb,honeycomb,comb,honeycomb
347,comb,reed (in loom),comb,reed in loom
348,comb (of a bird),cap peak,comb of a bird,cap peak
349,comet,kite (lightweight toy),comet,kite lightweight toy
350,common quail,corn crake,common quail,corn bird
351,"common, shared by several people",bad (ethically),common or shared by several people,bad ethically
352,"common, shared by several people",vulgar,common or shared by several people,vulgar
353,condemned to death,hooligan,condemned to death,hooligan
354,conversation,"custom, habit",conversation,custom or habit
355,copper,tin (n.),copper,tin 
356,copper,zinc,copper,zinc
357,corn crake,lean,corn bird,lean
358,corner,gulf,corner,gulf
359,corner,jaw,corner,jaw
360,corner,kneepit,corner,knee pit
361,corpse,bad (ethically),corpse,bad ethically
362,"corral, enclosure for cattle",herd,corral or enclosure for cattle,herd
363,correct (adj.),rich,correct ,rich
364,cotton,sheep,cotton,sheep
365,"country, land",chapter (of a book),country or land,chapter of a book
366,"country, land","people, nation",country or land,people or nation
367,"country, land",village,country or land,village
368,"country, land",wife,country or land,wife
369,court (of a sovereign),tribunal,court of a sovereign,tribunal
370,"cousin (male, cross-)",fool,cousin male or cross ,fool
371,"cover, lid",cover (of a book),cover or lid,cover of a book
372,"cover, lid",deck (of a ship),cover or lid,deck of a ship
373,"cover, lid",eyelid,cover or lid,eyelid
374,cow,squirrel (Sciurus),cow,squirrel 
375,crane (Grus),lifting machine,crane bird,lifting machine
376,crane (Grus),pickaxe,crane bird,pickax
377,crane (Grus),scatterbrain,crane bird,scatterbrain
378,crocodile,dangerous,crocodile,dangerous
379,crocodile,greedy,crocodile,greedy
380,cross (n.),clubs (in cards),cross ,clubs in cards
381,cross (n.),sacrum (bone),cross ,sacrum bone
382,crow,clubs (in cards),crow,clubs in cards
383,crow,spades (in cards),crow,spades in cards
384,crown (n.),comb (of a bird),crown ,comb of a bird
385,crown (n.),queen (bee),crown ,queen bee
386,crown (n.),top/crown (of a tree),crown ,top or crown of a tree
387,cuckoo,Eurasian hoopoe,cuckoo,Eurasian hoopoe
388,cuckoo,ladybird,cuckoo,ladybird
389,curly-headed,Jewish,curly headed,Jewish
390,currant-bush,buckthorn (Frangula),currant bush,buckthorn 
391,curtain,cataract (of the eye),curtain,cataract of the eye
392,curved,cunning person,curved,cunning person
393,curved,insane,curved,insane
394,curved,lame person,curved,lame person
395,curved,to be guilty,curved,to be guilty
396,"custom, habit",menstruation,custom or habit,menstruation
397,dark (adj.),bad,dark ,bad
398,dark (adj.),blind,dark ,blind
399,dark (adj.),gloomy,dark ,gloomy
400,dark (adj.),ignorant,dark ,ignorant
401,dark (adj.),incomprehensible,dark ,incomprehensible
402,dark (adj.),strong (of liquid or smell),dark ,strong of liquid or smell
403,darkness,west,darkness,west
404,daughter,Aloe vera (plant),daughter,Aloe vera plant
405,daughter,doll,daughter,doll
406,day,24 hours,day,twenty four hours
407,deaf,stupid,deaf,stupid
408,deaf,to grow numb,deaf,to grow numb
409,deep,dark (adj.),deep,dark 
410,deep,"earnest, serious",deep,earnest or serious
411,deep,rich,deep,rich
412,deep,saturated (of colour),deep,saturated of color
413,deer,horse (Equus caballus),deer,horse  
414,deer,sheep,deer,sheep
415,desert (n.),hardship,desert ,hardship
416,dew,rain,dew,rain
417,dew,tears,dew,tears
418,diamond,rhombus,diamond,rhombus
419,difficult,pregnant,difficult,pregnant
420,direction,"sense, perception",direction,sense or perception
421,dirty,bad (ethically),dirty,bad ethically
422,dirty,evil spirit,dirty,evil spirit
423,do not see,"to hate, to dislike",do not see,to hate or to dislike
424,"dock-tailed, tailless",old (vs. young),dock tailed or tailless,old 
425,dog,bad person,dog,bad person
426,dog,cock (of a gun),dog,cock of a gun
427,dog,horse (Equus caballus),dog,horse  
428,dog,poisonous,dog,poisonous
429,dog,police officer,dog,police officer
430,dog,seal (animal),dog,seal animal
431,dog,trigger (of a gun),dog,trigger of a gun
432,dog,whore,dog,whore
433,dog,wolf,dog,wolf
434,doll,larva,doll,larva
435,doll,mandrel (technology),doll,mandrel technology
436,doll,pupil (of an eye),doll,pupil of an eye
437,donkey,fool,donkey,fool
438,doomsday,"tumult, turmoil",doomsday,tumult or turmoil
439,door,chapter (of a book),door,chapter of a book
440,door,kind (n.),door,kind 
441,door,"manner, way",door,manner or way
442,door,mouth (of a river),door,mouth of a river
443,door,on the outside,door,on the outside
444,door,ravine,door,ravine
445,door,strait,door,strait
446,dough,money,dough,money
447,dragon,kite (lightweight toy),dragon,kite lightweight toy
448,drama (theatre),distressing event,drama theater,distressing event
449,drinking vessel,hearts (in cards),drinking vessel,hearts in cards
450,drone,"idler, loafer",drone,idler or loafer
451,drop (n.),full stop,drop ,full stop
452,drunk,great bilberry (Vaccinium uliginosum),drunk,great bilberry  
453,dry,abstinent (from alcohol),dry,abstinent from alcohol
454,dry,bad,dry,bad
455,dry,boring,dry,boring
456,dry,cruel,dry,cruel
457,dry,dry (wine),dry,dry wine
458,dry,emotionless,dry,emotionless
459,dry,empty,dry,empty
460,dry,fatless,dry,fatless
461,dry,having no milk,dry,having no milk
462,dry,in vain,dry,in vain
463,dry,land (vs. sea),dry,land 
464,dry,lean,dry,lean
465,dry,lenten (fare),dry,lenten fare
466,dry,obstinate,dry,obstinate
467,dry,paralyzed,dry,paralyzed
468,dry,sad,dry,sad
469,dry,severe,dry,severe
470,duck,newspaper hoax,duck,newspaper hoax
471,duck,to follow unthinkingly,duck,to follow unthinkingly
472,duckweed,"to walk, wander",duckweed,to walk or wander
473,dust,(gun)powder,dust,gunpowder
474,dust,pollen,dust,pollen
475,eagle-owl (Bubo bubo),clubs (in cards),eagle owl  ,clubs in cards
476,ear,cock (of a gun),ear,cock of a gun
477,ear,gills,ear,gills
478,ear,"handle, gripe",ear,handle or gripe
479,ear,hare (Lepus),ear,hare 
480,ear,hearing,ear,hearing
481,ear,listener,ear,listener
482,ear,mind (n.),ear,mind 
483,ear,"opening, hole",ear,opening or hole
484,ear,shoehorn,ear,shoehorn
485,ear,tuning peg,ear,tuning peg
486,early,morning,early,morning
487,earring,catkin,earring,catkin
488,earth,mother,earth,mother
489,earth,year,earth,year
490,earth oven,prison,earth oven,prison
491,"earth, soil","country, land",earth or soil,country or land
492,"earth, soil",distance,earth or soil,distance
493,edge,"country, land",edge,country or land
494,edge,last,edge,last
495,egg,larva,egg,larva
496,egg,potato,egg,potato
497,egg,testicle,egg,testicle
498,eggplant (Solanum melongena),tomato (Solanum lycopersicum),eggplant  ,tomato  
499,elbow,bend (of a river),elbow,bend of a river
500,elbow,crossroads,elbow,crossroads
501,elbow,unit of length,elbow,unit of length
502,elder,ace (playing card),elder,ace playing card
503,elder,boss,elder,boss
504,elder brother,member of criminal organisation,elder brother,member of criminal organization
505,elephant,bishop (chess),elephant,bishop chess
506,elephant,good,elephant,good
507,elephant,marble goby (Oxyeleotris marmorata),elephant,marble goby  
508,ember,red,ember,red
509,empty,desert (n.),empty,desert 
510,empty,hungry,empty,hungry
511,empty,idle,empty,idle
512,empty,in vain,empty,in vain
513,empty,poor,empty,poor
514,empty,pot,empty,pot
515,empty,stupid,empty,stupid
516,empty,to stop doing smth.,empty,to stop doing 
517,empty,unmarried,empty,unmarried
518,end,completion,end,completion
519,end,ending (in grammar),end,ending in grammar
520,end,territorial entity,end,territorial entity
521,enemy,cunning person,enemy,cunning person
522,enemy,evil spirit,enemy,evil spirit
523,enemy,war,enemy,war
524,error,danger,error,danger
525,erysipelas,glasswort,erysipelas,herb
526,evening,"party, soiree",evening,party or soiree
527,evening,west,evening,west
528,exact,to be alike,exact,to be alike
529,exchange,peace,exchange,peace
530,expensive,lovely,expensive,lovely
531,eye,bud (on a twig),eye,bud on a twig
532,eye,burner,eye,burner
533,eye,"cavity, hollow",eye,cavity or hollow
534,eye,eminent man,eye,eminent man
535,eye,evil eye,eye,evil eye
536,eye,eye of typhoon,eye,eye of typhoon
537,eye,headlight (of a car),eye,headlight of a car
538,eye,look (n.),eye,look 
539,eye,loop,eye,loop
540,eye,observer,eye,observer
541,eye,oil particle,eye,oil particle
542,eye,"opening, hole",eye,opening or hole
543,eye,peephole,eye,peephole
544,eye,planet,eye,planet
545,eye,small object,eye,small object
546,eye,spectacles,eye,spectacles
547,eye,"spot, pip (on playing cards or dice)",eye,spot or pip on playing cards or dice
548,eye,"spring, fountain",eye,spring or fountain
549,eye,spy,eye,spy
550,eye,sun,eye,sun
551,eye,supervision,eye,supervision
552,eye,vision,eye,vision
553,eye,whirlpool,eye,whirlpool
554,eye,window,eye,window
555,eyebrow,hill,eyebrow,hill
556,eyelash,"ear, spike (of a grain plant)",eyelash,ear or spike of a grain plant
557,eyelash,edge,eyelash,edge
558,face,conscience,face,conscience
559,face,direction,face,direction
560,face,front part,face,front part
561,face,"manner, way",face,manner or way
562,face,mountain slope,face,mountain slope
563,face,person,face,person
564,face,sharp point,face,sharp point
565,face,side (n.),face,side 
566,face,surface,face,surface
567,face,"to govern, control, rule",face,to govern or control or rule
568,faeces,bad,faeces,bad
569,fairy tale,"false, wrong",fairy tale,false or wrong
570,falcon,bully,falcon,bully
571,family,child (son or daughter),family,child son or daughter
572,family,wife,family,wife
573,fan (hand-held),common redstart,fan hand held,common redstart
574,fan (hand-held),electrical fan,fan hand held,electrical fan
575,fan (hand-held),"leaf (of door, window)",fan hand held,leaf of door or window
576,fan palm (Pritchardia pacifica),umbrella,fan palm  peaceful,umbrella
577,farmer,jack (playing card),farmer,jack playing card
578,farmer,pawn (in chess),farmer,pawn in chess
579,fat (adj.)(of a person),rich,fat of a person,rich
580,fat (n.),cataract (of the eye),fat ,cataract of the eye
581,father,amazing,father,amazing
582,father,ancestor,father,ancestor
583,father,beginning,father,beginning
584,father,big,father,big
585,father,boss,father,boss
586,father,"cause, reason",father,cause or reason
587,father,father-in-law,father,father in law
588,father,founder,father,founder
589,father,god,father,god
590,father,influential person,father,influential person
591,father,monarch,father,monarch
592,father,owner,father,owner
593,father,sir,father,sir
594,"fearful, dreadful",big,fearful or dreadful,big
595,"fearful, dreadful",very,fearful or dreadful,very
596,"fearful, dreadful",wolf,fearful or dreadful,wolf
597,feather,arrow,feather,arrow
598,feather,fin,feather,fin
599,feather,leaf,feather,leaf
600,feather,moss,feather,moss
601,fellow traveller,spouse,fellow traveler,spouse
602,female calf,girl,female calf,girl
603,field,battle,field,battle
604,field,wife,field,wife
605,field,year,field,year
606,"fine, powder-like","little, small",fine or powder like,little or small
607,finger/toe,"salient part, ledge",finger or toe,salient part or ledge
608,finger/toe,sleeve,finger or toe,sleeve
609,finger/toe,spoke of wheel,finger or toe,spoke of wheel
610,finger/toe,unit of length,finger or toe,unit of length
611,fire,Mars,fire,Mars
612,fire,electricity,fire,electricity
613,fire,hell,fire,hell
614,fire,inflammation,fire,inflammation
615,fire,to shoot,fire,to shoot
616,fire,very,fire,very
617,fire,war,fire,war
618,fireplace,garden bed,fireplace,garden bed
619,"firm, solid",closed,firm or solid,closed
620,"firm, solid",healthy,firm or solid,healthy
621,"firm, solid",quick,firm or solid,quick
622,"firm, solid","reliable, trustworthy",firm or solid,reliable or trustworthy
623,fish,animal,fish,animal
624,fish,lightning,fish,lightning
625,fish,muscle,fish,muscle
626,fisherman,osprey (Pandion haliaёtus),fisherman,osprey  
627,fist,handful,fist,handful
628,flank (body part),mountain slope,flank body part,mountain slope
629,flat (adj),simple,flat ,simple
630,flat (adj),stupid,flat ,stupid
631,flat (adj),unfunny,flat ,unfunny
632,flexible,quick,flexible,quick
633,flower,bastard,flower,bastard
634,flower,beautiful,flower,beautiful
635,flower,best,flower,best
636,flower,colour,flower,color
637,flower,cunning person,flower,cunning person
638,flower,fire,flower,fire
639,flower,fireworks,flower,fireworks
640,flower,smallpox,flower,smallpox
641,flute,Eurasian skylark,flute,Eurasian skylark
642,flute,shinbone,flute,shinbone
643,fly (n.),clubs (in cards),fly ,clubs in cards
644,foam,"chatter, idle talk",foam,chatter or idle talk
645,fool,fanatic,fool,fanatic
646,foot,mountain foot,foot,mountain foot
647,foot,sediment,foot,sediment
648,foot,unit of length,foot,unit of length
649,foot/leg,basis,foot or leg,basis
650,foot/leg,branch (of a river),foot or leg,branch of a river
651,foot/leg,cock (of a gun),foot or leg,cock of a gun
652,foot/leg,foot-wear,foot or leg,foot wear
653,foot/leg,hand (of a clock),foot or leg,hand of a clock
654,foot/leg,jack (playing card),foot or leg,jack playing card
655,foot/leg,mouth (of a river),foot or leg,mouth of a river
656,foot/leg,"salient part, ledge",foot or leg,salient part or ledge
657,foot/leg,spur of mountain,foot or leg,spur of mountain
658,foot/leg,"step (of a staircase, step-ladder)",foot or leg,step of a staircase or step ladder
659,foot/leg,"step, pace",foot or leg,step or pace
660,foot/leg,wheel,foot or leg,wheel
661,"footprint, track",affair,footprint or track,affair
662,"footprint, track",road,footprint or track,road
663,"footprint, track",scar,footprint or track,scar
664,"footprint, track","sign, designation",footprint or track,sign or designation
665,forbidden,bastard,forbidden,bastard
666,forehead,front (during the war),forehead,front during the war
667,forehead,front part,forehead,front part
668,forehead,"happiness, luck",forehead,happiness or luck
669,forehead,mountain slope,forehead,mountain slope
670,forehead,"salient part, ledge",forehead,salient part or ledge
671,forehead,side (n.),forehead,side 
672,forelock,hill,forelock,hill
673,forest,bear (Ursus),forest,bear 
674,forest,to hunt,forest,to hunt
675,forest,toilet,forest,toilet
676,forest,"wild, untamed",forest,wild or untamed
677,fortress,prison,fortress,prison
678,"foundation, basement",main,foundation or basement,main
679,fox (Vulpes vulpes),chanterelle,fox Vulpes Vulpes,chanterelle
680,fox (Vulpes vulpes),trigger (of a gun),fox Vulpes Vulpes,trigger of a gun
681,free,"can, to be able",free,can or to be able
682,free,cheap,free,cheap
